L-RPM,R-RPM,Speed,Swing_Level,Spin_Level,Position,Pan,Pan actual,Tilt,Tilt actual,Left Tilt,Left Tilt Actual,Right Tilt,Right Tilt Actual,X,Y
340.0,340.0,60.0,Swing Level -5,Spin Level -5,centre - 0,2850.0,2855.0,3095.0,3087.0,1010.0,1014.0,1210.0,1211.0,150,40
,,,,,top- 1,2850.0,2847.0,3095.0,3087.0,1450.0,1450.0,1650.0,1654.0,150,5
,,,,,left - 2,3040.0,3041.0,3095.0,3098.0,1010.0,1011.0,1210.0,1212.0,0,40
,,,,,right - 3,2640.0,2635.0,3095.0,3093.0,1010.0,1008.0,1210.0,1210.0,300,40
,,,,,bottom - 4,2850.0,2848.0,3095.0,3098.0,650.0,655.0,850.0,854.0,150,80
,,,,,top-mid-centre-5,2850.0,2855.0,3095.0,3099.0,1320.0,1322.0,1520.0,1517.0,150,25
,,,,,top-mid-left-6,3040.0,3042.0,3095.0,3089.0,1320.0,1325.0,1520.0,1523.0,0,25
,,,,,top-mid-right-7,2640.0,2637.0,3095.0,3098.0,1320.0,1320.0,1520.0,1518.0,300,25
340.0,340.0,60.0,Swing Level -5,Spin Level -4,centre - 0,2860.0,2861.0,3100.0,3103.0,1030.0,1028.0,1190.0,1187.0,150,40
,,,,,top- 1,2860.0,2860.0,3100.0,3100.0,1470.0,1467.0,1630.0,1627.0,150,5
,,,,,left - 2,3052.0,3054.0,3100.0,3100.0,1030.0,1033.0,1190.0,1189.0,0,40
,,,,,right - 3,2652.0,2651.0,3100.0,3100.0,1030.0,1034.0,1190.0,1195.0,300,40
,,,,,bottom - 4,2860.0,2863.0,3100.0,3103.0,670.0,671.0,830.0,828.0,150,80
,,,,,top-mid-centre-5,2860.0,2863.0,3100.0,3098.0,1340.0,1340.0,1500.0,1503.0,150,25
,,,,,top-mid-left-6,3052.0,3047.0,3100.0,3093.0,1340.0,1337.0,1500.0,1501.0,0,25
,,,,,top-mid-right-7,2652.0,2653.0,3100.0,3095.0,1340.0,1345.0,1500.0,1502.0,300,25
